ref_num,area,city,district,Mukatat,date,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18920201,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920269,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,207528,345.88,600.0
18918637,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18918698,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18918833,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18918791,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18918939,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18919031,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18918886,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920011,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920067,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920035,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920118,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920084,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920147,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18920161,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,231516,385.86,600.0
